sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61a88885c1556423f09ae690,1,PAINT,,0.0,version1
2,61adbcf60b9699924a1a3eb0,2,PAINT,,0.0,version1
3,61b9b6180e52680e19f12a8d,3,PAINT,,0.0,version1
4,61a8819ac1556423f09ae4c6,4,PAINT,,0.0,version1
5,61a888c3c1556423f09ae6a0,5,PAINT,,0.0,version1
6,61adbd180b9699924a1a3eb9,6,PAINT,,0.0,version1
7,61a8869dc1556423f09ae5db,7,PAINT,,0.0,version1
8,61a8837cc1556423f09ae535,8,PAINT,,0.0,version1
9,61a88821c1556423f09ae671,9,PAINT,,0.0,version1
10,61b050bfce77137cb5f58c35,10,PAINT,,0.0,version1
11,61a8837cc1556423f09ae533,11,PAINT,,0.0,version1
12,61a886b4c1556423f09ae5e7,12,PAINT,,0.0,version1
13,61a8837cc1556423f09ae534,13,PAINT,,0.0,version1
14,61a881d5c1556423f09ae4e1,14,PAINT,,0.0,version1
15,61a888e8c1556423f09ae6aa,15,PAINT,,0.0,version1
16,61a9e5a50b9699924a1a36ed,16,PAINT,,0.0,version1
