sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64eea95eb5f53940ba7732e6,1,PAINT,,0.0,version1
2,64e81a4db5f53940ba76fbca,2,PAINT,,0.0,version1
3,64f5a4b6b5f53940ba77822b,3,PAINT,FES,0.0,version1
4,63c7cfec15945b398598eca2,4,PAINT,FES,0.0,version1
5,64e80d63b5f53940ba76f960,5,PAINT,FES,0.0,version1
6,64e80d98b5f53940ba76f980,6,PAINT,,0.0,version1
7,64e80e64b5f53940ba76f9a8,7,PAINT,FES,0.0,version1
8,64e81804b5f53940ba76fb33,8,PAINT,,0.0,version1
9,64e80d64b5f53940ba76f961,9,PAINT,FES,0.0,version1
10,64e80d68b5f53940ba76f968,10,PAINT,,0.0,version1
11,64e80e65b5f53940ba76f9ab,11,PAINT,,0.0,version1
12,64e81a4eb5f53940ba76fbcc,12,PAINT,,0.0,version1
13,64e81804b5f53940ba76fb35,13,PAINT,,0.0,version1
14,64e81a40b5f53940ba76fbb6,14,PAINT,FES,0.0,version1
15,646756a1f28f95ddf6dd1f08,15,PAINT,FOO,0.0,version1
16,64e81fa8b5f53940ba76fcd4,16,PAINT,FES,0.0,version1
