sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,644a6f5d3aa9895f1b242f20,1,PAINT,FES,0.0,version1
2,6360f49ca3145f1256fcdd8b,2,PAINT,FES,0.0,version1
3,63907909473e71ee5e374e4a,3,PAINT,FES,0.0,version1
4,64490d8501e6c46b636de83d,4,PAINT,FES,0.0,version1
5,64490d8601e6c46b636de83e,5,PAINT,FES,0.0,version1
6,645380b63aa9895f1b245383,6,PAINT,OBJ,0.0,version1
7,645380b73aa9895f1b245385,7,PAINT,OBJ,0.0,version1
8,64e80d73b5f53940ba76f978,8,PAINT,,0.0,version1
9,64e80e62b5f53940ba76f9a6,9,PAINT,FES,0.0,version1
10,64e81a41b5f53940ba76fbb7,10,PAINT,FES,0.0,version1
11,64e81a4cb5f53940ba76fbc8,11,PAINT,,0.0,version1
12,64e81a4eb5f53940ba76fbcb,12,PAINT,,0.0,version1
13,652659ca91533be72f0876e6,13,PAINT,FES,0.0,version1
14,65265ab791533be72f0877a3,14,PAINT,FES,0.0,version1
15,65265ab891533be72f0877a6,15,PAINT,FES,0.0,version1
16,652662cf91533be72f087a5b,16,PAINT,FES,0.0,version1
