sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6332cf3edf60b1b10e0f59ba,1,PAINT,,0.0,version1
2,6320628960de5ff993ecf89c,2,PAINT,FOO,0.0,version1
3,632afaac60de5ff993ed4e87,3,PAINT,FOO,0.0,version1
4,6319d61860de5ff993ece09a,4,PAINT,OBJ,0.0,version1
5,632859ea60de5ff993ed37ec,5,PAINT,FOO,0.0,version1
6,6221e742a92e1086b4e253ec,6,PAINT,PET,0.0,version1
7,6320628a60de5ff993ecf89e,7,PAINT,FOO,0.0,version1
8,6332cf3bdf60b1b10e0f59b7,8,PAINT,,0.0,version1
9,632315e160de5ff993ed14fd,9,PAINT,OBJ,0.0,version1
10,6331846c60de5ff993ed7dba,10,PAINT,,0.0,version1
11,6332cf3edf60b1b10e0f59bb,11,PAINT,,0.0,version1
12,6331846b60de5ff993ed7db9,12,PAINT,,0.0,version1
13,6331846e60de5ff993ed7dbd,13,PAINT,,0.0,version1
14,6331846960de5ff993ed7db2,14,PAINT,,0.0,version1
15,6331846d60de5ff993ed7dbc,15,PAINT,,0.0,version1
16,6331846b60de5ff993ed7db8,16,PAINT,,0.0,version1
