sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6141f34541bd31b55a07973c,1,PAINT,,0.0,version1
2,6141f34541bd31b55a079741,2,PAINT,,0.0,version1
3,6141f34541bd31b55a079749,3,PAINT,,0.0,version1
4,6141f34541bd31b55a079752,4,PAINT,,0.0,version1
5,6141f34541bd31b55a079759,5,PAINT,,0.0,version1
6,6141f34541bd31b55a079760,6,PAINT,,0.0,version1
7,6141f34541bd31b55a079767,7,PAINT,,0.0,version1
8,6141f34541bd31b55a07976d,8,PAINT,,0.0,version1
9,6141f34541bd31b55a079772,9,PAINT,,0.0,version1
10,6141f34541bd31b55a07977a,10,PAINT,,0.0,version1
11,6141f34541bd31b55a079780,11,PAINT,,0.0,version1
12,6141f34541bd31b55a079787,12,PAINT,,0.0,version1
13,6141f34541bd31b55a079796,13,PAINT,,0.0,version1
14,6141f34541bd31b55a07978e,14,PAINT,,0.0,version1
15,6141f34541bd31b55a078eef,15,PAINT,,0.0,version1
16,6141f34541bd31b55a078eea,16,PAINT,,0.0,version1
