sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6229bb05d04cbab22ad68a16,1,PAINT,,0.0,version1
2,6229bac3d04cbab22ad6893f,2,PAINT,OBJ,0.0,version1
3,6229bb09d04cbab22ad68a4a,3,PAINT,,0.0,version1
4,62381fec3d8d16fe91a19a02,4,PAINT,,0.0,version1
5,6229bb05d04cbab22ad689c2,5,PAINT,PET,0.0,version1
6,6141f34441bd31b55a0789ab,6,PAINT,,0.0,version1
7,6229bb05d04cbab22ad68a1c,7,PAINT,OBJ,0.0,version1
8,623af3bf1635f6a54f05fe84,8,PAINT,,0.0,version1
9,623af3c21635f6a54f05fe8c,9,PAINT,,0.0,version1
10,6239901b1635f6a54f05efe3,10,PAINT,,0.0,version1
11,623af3be1635f6a54f05fe80,11,PAINT,,0.0,version1
12,6229bb05d04cbab22ad68a22,12,PAINT,,0.0,version1
13,62381ff03d8d16fe91a19a1a,13,PAINT,,0.0,version1
14,6229bb05d04cbab22ad68a20,14,PAINT,ANI,0.0,version1
15,623af3c11635f6a54f05fe88,15,PAINT,,0.0,version1
16,6238209d3d8d16fe91a19a75,16,PAINT,,0.0,version1
