sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,637f5d038062ac7fcbcb0f9f,1,PAINT,ANI,0.0,version1
2,637cb5b5231933abb2707c24,2,PAINT,PET,0.0,version1
3,6380b8568062ac7fcbcb1f36,3,PAINT,PET,0.0,version1
4,6385e37f8062ac7fcbcb3bf5,4,PAINT,ANI,0.0,version1
5,637f5d058062ac7fcbcb0fa2,5,PAINT,ANI,0.0,version1
6,634d42f4a3145f1256fc484c,6,PAINT,ANI,0.0,version1
7,636ccecca7d40d730afb7b79,7,PAINT,PET,0.0,version1
8,635284f1a3145f1256fc80b4,8,PAINT,ANI,0.0,version1
9,6364ef75a3145f1256fd86b9,9,PAINT,ANI,0.0,version1
10,6352852aa3145f1256fc80c4,10,PAINT,PET,0.0,version1
11,6347f3c2df60b1b10e0fdb9c,11,PAINT,PET,0.0,version1
12,637dfba18062ac7fcbcb04ae,12,PAINT,PET,0.0,version1
13,638f2287473e71ee5e373a18,13,PAINT,ANI,0.0,version1
14,637f5d038062ac7fcbcb0fa0,14,PAINT,ANI,0.0,version1
15,637dfb9f8062ac7fcbcb04ac,15,PAINT,PET,0.0,version1
16,6380b8558062ac7fcbcb1f35,16,PAINT,PET,0.0,version1
