sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64ed8f67b5f53940ba7725d7,1,PAINT,FES,0.0,version1
2,645380943aa9895f1b245355,2,PAINT,FES,0.0,version1
3,6446701401e6c46b636d8162,3,PAINT,FES,0.0,version1
4,64e48db0b5f53940ba76d4d0,4,PAINT,FES,0.0,version1
5,64c78c69890be1665696b14d,5,PAINT,FLO,0.0,version1
6,64490d8301e6c46b636de83b,6,PAINT,FES,0.0,version1
7,64bf8b0615da672b6dc4c739,7,PAINT,FES,0.0,version1
8,643e7277e616ced1543be7dc,8,PAINT,FES,0.0,version1
9,646de886e72c4297fd3236a0,9,PAINT,FES,0.0,version1
10,643d243fe616ced1543bc5c6,10,PAINT,FES,0.0,version1
11,645cbc603aa9895f1b24d662,11,PAINT,FES,0.0,version1
12,642ff05a3fca899416885831,12,PAINT,FES,0.0,version1
13,64635741f2485c91428d43cc,13,PAINT,FES,0.0,version1
14,633425bedf60b1b10e0f6718,14,PAINT,FES,0.0,version1
15,646614a3f28f95ddf6dd069d,15,PAINT,FES,0.0,version1
16,6332cf38df60b1b10e0f59ae,16,PAINT,,0.0,version1
