sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62c2bbdc9876e4a1a6007780,1,PAINT,NAT,0.0,version1
2,62b970869876e4a1a60037b9,2,PAINT,NAT,0.0,version1
3,62bd8fc89876e4a1a6005df7,3,PAINT,NAT,0.0,version1
4,62b452f2369397502ef1d5fc,4,PAINT,,0.0,version1
5,62bc3d869876e4a1a600557b,5,PAINT,NAT,0.0,version1
6,62bd8fc89876e4a1a6005df6,6,PAINT,NAT,0.0,version1
7,62b970879876e4a1a60037bb,7,PAINT,NAT,0.0,version1
8,62b970859876e4a1a60037b8,8,PAINT,NAT,0.0,version1
9,62b970889876e4a1a60037bc,9,PAINT,NAT,0.0,version1
10,62bc3d859876e4a1a6005579,10,PAINT,NAT,0.0,version1
11,62bc3d879876e4a1a600557c,11,PAINT,NAT,0.0,version1
12,62b970829876e4a1a60037b3,12,PAINT,NAT,0.0,version1
13,62b970879876e4a1a60037ba,13,PAINT,NAT,0.0,version1
14,62c2bbd99876e4a1a600777c,14,PAINT,FLO,0.0,version1
15,62c2bbdd9876e4a1a6007781,15,PAINT,NAT,0.0,version1
16,62a1a962cce6b2f7f5190e79,16,PAINT,SUM,0.0,version1
