sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6246bce624cb8e8b164df4a5,1,PAINT,DRA,0.0,version1
2,62972ec79c244a45014be2fb,2,PAINT,DRA,0.0,version1
3,626b8b08adf1572982bb665d,3,PAINT,DRA,0.0,version1
4,6411342a2198b6f6254414a1,4,PAINT,,0.0,version1
5,626b8b08adf1572982bb665c,5,PAINT,DRA,0.0,version1
6,6246bce424cb8e8b164df4a3,6,PAINT,DRA,0.0,version1
7,63f8c1dc097b43395ea24a1d,7,PAINT,,0.0,version1
8,6246bceb24cb8e8b164df4ab,8,PAINT,,0.0,version1
9,6283768ce60a99787306cff3,9,PAINT,,0.0,version1
10,6246bcea24cb8e8b164df4aa,10,PAINT,DRA,0.0,version1
11,629eb9b437b6ba0e5af781e4,11,PAINT,DRA,0.0,version1
12,63f8c1db097b43395ea24a1c,12,PAINT,,0.0,version1
13,63f8bd16097b43395ea24961,13,PAINT,,0.0,version1
14,629eb9b337b6ba0e5af781e3,14,PAINT,DRA,0.0,version1
15,6246bce624cb8e8b164df4a6,15,PAINT,DRA,0.0,version1
16,6298a9eb70e7eac4294eb986,16,PAINT,DRA,0.0,version1
