sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,628a581d5b1b45322be4c0ae,1,PAINT,OBJ,0.0,version1
2,62763afdadf1572982bb9984,2,PAINT,OBJ,0.0,version1
3,62763ed0adf1572982bb9aa5,3,PAINT,OBJ,0.0,version1
4,62850e9be60a99787306dd50,4,PAINT,OBJ,0.0,version1
5,627b81d6e60a99787306a997,5,PAINT,OBJ,0.0,version1
6,627cc1a3e60a99787306b2c4,6,PAINT,OBJ,0.0,version1
7,62763afcadf1572982bb9983,7,PAINT,OBJ,0.0,version1
8,628a58185b1b45322be4c09c,8,PAINT,OBJ,0.0,version1
9,628a581d5b1b45322be4c0ac,9,PAINT,OBJ,0.0,version1
10,628a581c5b1b45322be4c0aa,10,PAINT,OBJ,0.0,version1
11,628a581e5b1b45322be4c0b4,11,PAINT,,0.0,version1
12,628a581e5b1b45322be4c0b2,12,PAINT,OBJ,0.0,version1
13,628a581f5b1b45322be4c0b6,13,PAINT,OBJ,0.0,version1
14,628a581c5b1b45322be4c0a8,14,PAINT,OBJ,0.0,version1
15,62850e9be60a99787306dd4e,15,PAINT,OBJ,0.0,version1
16,62836639e60a99787306cf07,16,PAINT,OBJ,0.0,version1
