sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62c809e39876e4a1a6009d44,1,PAINT,NAT,0.0,version1
2,62c6c68e9876e4a1a60094e0,2,PAINT,NAT,0.0,version1
3,62c6c69a9876e4a1a60094f0,3,PAINT,NAT,0.0,version1
4,62cd5715f5ffecb013797a13,4,PAINT,NAT,0.0,version1
5,62cd5715f5ffecb013797a12,5,PAINT,HOM,0.0,version1
6,62cd5716f5ffecb013797a14,6,PAINT,NAT,0.0,version1
7,62c413dc9876e4a1a600836b,7,PAINT,NAT,0.0,version1
8,62c6c69b9876e4a1a60094f1,8,PAINT,ANI,0.0,version1
9,62c6c6909876e4a1a60094e2,9,PAINT,NAT,0.0,version1
10,62c809f09876e4a1a6009d56,10,PAINT,NAT,0.0,version1
11,62c52c419876e4a1a6008846,11,PAINT,NAT,0.0,version1
12,62c6c68b9876e4a1a60094dc,12,PAINT,NAT,0.0,version1
13,62c6c69a9876e4a1a60094ef,13,PAINT,NAT,0.0,version1
14,62c6c68f9876e4a1a60094e1,14,PAINT,NAT,0.0,version1
15,62c6c68d9876e4a1a60094df,15,PAINT,NAT,0.0,version1
16,62bc3d8e9876e4a1a6005585,16,PAINT,NAT,0.0,version1
