sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61825106b5e166506a83b529,1,PAINT,,0.0,version1
2,618b76a96ac28a0ab9b2bfc0,2,PAINT,,0.0,version1
3,618b76f76ac28a0ab9b2bfcc,3,PAINT,,0.0,version1
4,6180f8dfb5e166506a83b36c,4,PAINT,,0.0,version1
5,618250c6b5e166506a83b51a,5,PAINT,,0.0,version1
6,6180f9e5b5e166506a83b398,6,PAINT,,0.0,version1
7,6180fb9ab5e166506a83b3cf,7,PAINT,,0.0,version1
8,6180fcefb5e166506a83b3fb,8,PAINT,,0.0,version1
9,6166bb5295170cc3828b0ef9,9,PAINT,,0.0,version1
10,63720f1a231933abb2701bb1,10,PAINT,,0.0,version1
11,618b74d76ac28a0ab9b2bf88,11,PAINT,,0.0,version1
12,6188e098b5e166506a83bf00,12,PAINT,,0.0,version1
13,6180fa5eb5e166506a83b3aa,13,PAINT,,0.0,version1
14,6180fcd3b5e166506a83b3f7,14,PAINT,,0.0,version1
15,61790959b5e166506a83ab15,15,PAINT,,0.0,version1
16,61790933b5e166506a83ab11,16,PAINT,,0.0,version1
