sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,620a0333a7b96c07e89105b8,1,PAINT,,0.0,version1
2,61a75016ad22f796bd0541ab,2,PAINT,,0.0,version1
3,61a883e4c1556423f09ae542,3,PAINT,,0.0,version1
4,61a74fe5ad22f796bd05419a,4,PAINT,,0.0,version1
5,61a88426c1556423f09ae562,5,PAINT,,0.0,version1
6,61a0bd0f50a6b7268b7113e1,6,PAINT,,0.0,version1
7,61a883e5c1556423f09ae54b,7,PAINT,,0.0,version1
8,61a7508aad22f796bd0541bb,8,PAINT,,0.0,version1
9,61a883e4c1556423f09ae543,9,PAINT,,0.0,version1
10,61a73ddfad22f796bd054046,10,PAINT,,0.0,version1
11,61bc7addc5eb11567ead4363,11,PAINT,,0.0,version1
12,61a73ddfad22f796bd054045,12,PAINT,,0.0,version1
13,61824eb7b5e166506a83b4c3,13,PAINT,,0.0,version1
14,61a88407c1556423f09ae557,14,PAINT,,0.0,version1
15,61a8837cc1556423f09ae536,15,PAINT,,0.0,version1
16,61caeb167412358bc7cb46c6,16,PAINT,,0.0,version1
