sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,616e865795170cc3828b14d4,1,PAINT,,0.0,version1
2,616e7fa995170cc3828b1428,2,PAINT,,0.0,version1
3,616e808795170cc3828b143c,3,PAINT,,0.0,version1
4,616e81c095170cc3828b1460,4,PAINT,,0.0,version1
5,616e7f6195170cc3828b141f,5,PAINT,,0.0,version1
6,616e80b395170cc3828b1440,6,PAINT,,0.0,version1
7,616e80ee95170cc3828b1448,7,PAINT,,0.0,version1
8,616fee19b9ac9205edbd0fbd,8,PAINT,,0.0,version1
9,616fee4bb9ac9205edbd0fd1,9,PAINT,,0.0,version1
10,616eae6c95170cc3828b16a1,10,PAINT,,0.0,version1
11,61729631b5e166506a83a2e7,11,PAINT,,0.0,version1
12,616fee01b9ac9205edbd0fb9,12,PAINT,,0.0,version1
13,616feb33b9ac9205edbd0ef9,13,PAINT,,0.0,version1
14,616e867395170cc3828b14d8,14,PAINT,,0.0,version1
15,616e812895170cc3828b1450,15,PAINT,,0.0,version1
16,616e863995170cc3828b14d0,16,PAINT,,0.0,version1
