sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,645b77c23aa9895f1b24be19,1,PAINT,,0.0,version1
2,64562e3e3aa9895f1b248194,2,PAINT,DRA,0.0,version1
3,6454d2a93aa9895f1b246c18,3,PAINT,,0.0,version1
4,645b77bf3aa9895f1b24be15,4,PAINT,DRA,0.0,version1
5,638dd358473e71ee5e372dca,5,PAINT,DRA,0.0,version1
6,643556b8f912e511cc9e338b,6,PAINT,DRA,0.0,version1
7,645b77c13aa9895f1b24be17,7,PAINT,DRA,0.0,version1
8,64b650719313055ba532ae3c,8,PAINT,,0.0,version1
9,64183d782709bfc144c19c92,9,PAINT,ART,0.0,version1
10,645380b03aa9895f1b24537b,10,PAINT,DRA,0.0,version1
11,6380b86a8062ac7fcbcb1f4f,11,PAINT,ART,0.0,version1
12,649acc60d5f8ce50f9804ae5,12,PAINT,DRA,0.0,version1
13,6380b86b8062ac7fcbcb1f50,13,PAINT,ART,0.0,version1
14,64a81d069313055ba531c692,14,PAINT,DRA,0.0,version1
15,645b77c03aa9895f1b24be16,15,PAINT,DRA,0.0,version1
16,6360f487a3145f1256fcdd6d,16,PAINT,ART,0.0,version1
