sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6141f34541bd31b55a079553,1,PAINT,,0.0,version1
2,6141f34541bd31b55a07955f,2,PAINT,,0.0,version1
3,6141f34541bd31b55a079566,3,PAINT,,0.0,version1
4,6141f34541bd31b55a07956d,4,PAINT,,0.0,version1
5,6141f34541bd31b55a07955a,5,PAINT,,0.0,version1
6,6141f34541bd31b55a079573,6,PAINT,,0.0,version1
7,6141f34541bd31b55a07951a,7,PAINT,,0.0,version1
8,6141f34541bd31b55a079513,8,PAINT,,0.0,version1
9,6141f34541bd31b55a07950b,9,PAINT,,0.0,version1
10,6141f34541bd31b55a07951f,10,PAINT,,0.0,version1
11,6141f34541bd31b55a079528,11,PAINT,,0.0,version1
12,6141f34541bd31b55a07952f,12,PAINT,,0.0,version1
13,6141f34541bd31b55a079535,13,PAINT,,0.0,version1
14,6141f34541bd31b55a07953d,14,PAINT,,0.0,version1
15,6141f34541bd31b55a079545,15,PAINT,,0.0,version1
16,6141f34541bd31b55a07954b,16,PAINT,,0.0,version1
