sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63775f1c231933abb2706081,1,PAINT,HOM,0.0,version1
2,634150b3df60b1b10e0f937c,2,PAINT,HOM,0.0,version1
3,6342a632df60b1b10e0f9ca4,3,PAINT,HOM,0.0,version1
4,6341415fdf60b1b10e0f91e2,4,PAINT,HOM,0.0,version1
5,63b7f405bca7595bc8b913b4,5,PAINT,,0.0,version1
6,63494214df60b1b10e0fea5c,6,PAINT,HOM,0.0,version1
7,63357782df60b1b10e0f7905,7,PAINT,HOM,0.0,version1
8,637619e0231933abb2704f17,8,PAINT,HOM,0.0,version1
9,63035f9ba9e3310549e5e07d,9,PAINT,HOM,0.0,version1
10,634150b3df60b1b10e0f937b,10,PAINT,HOM,0.0,version1
11,631884e960de5ff993ecd624,11,PAINT,,0.0,version1
12,6385e3878062ac7fcbcb3bfe,12,PAINT,HOM,0.0,version1
13,63a19a75c00a83a598dbb94c,13,PAINT,,0.0,version1
14,63849a088062ac7fcbcb2c26,14,PAINT,HOM,0.0,version1
15,631884e960de5ff993ecd625,15,PAINT,HOM,0.0,version1
16,632afab360de5ff993ed4e90,16,PAINT,HOM,0.0,version1
