sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63aac30fbcdd690c4175930e,1,PAINT,FOO,0.0,version1
2,63ac1d44bca7595bc8b8accd,2,PAINT,FOO,0.0,version1
3,63aac30dbcdd690c4175930c,3,PAINT,FLO,0.0,version1
4,63aac317bcdd690c41759318,4,PAINT,PET,0.0,version1
5,62bed3819876e4a1a60066fa,5,PAINT,FLO,0.0,version1
6,6390790b473e71ee5e374e4d,6,PAINT,FOO,0.0,version1
7,63590aeca3145f1256fca30c,7,PAINT,ANI,0.0,version1
8,61dfff876de5ebac1234f496,8,PAINT,,0.0,version1
9,61dfeda16de5ebac1234f1f2,9,PAINT,,0.0,version1
10,63ac1d71bca7595bc8b8ace2,10,PAINT,PET,0.0,version1
11,63ac1d70bca7595bc8b8ace1,11,PAINT,PET,0.0,version1
12,63aac30ebcdd690c4175930d,12,PAINT,FLO,0.0,version1
13,63aac315bcdd690c41759315,13,PAINT,FOO,0.0,version1
14,63a2e66dc00a83a598dbc533,14,PAINT,FOO,0.0,version1
15,61d693887412358bc7cb614f,15,PAINT,,0.0,version1
16,63aac316bcdd690c41759317,16,PAINT,OBJ,0.0,version1
