sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63639af3a3145f1256fd0313,1,PAINT,FOO,0.0,version1
2,637b57f4231933abb2706d24,2,PAINT,OBJ,0.0,version1
3,6374ba3c231933abb2703e3c,3,PAINT,FOO,0.0,version1
4,636ccedda7d40d730afb7b91,4,PAINT,FOO,0.0,version1
5,636e27d2a7d40d730afb8e63,5,PAINT,FOO,0.0,version1
6,636cced1a7d40d730afb7b81,6,PAINT,FOO,0.0,version1
7,63639af1a3145f1256fd0310,7,PAINT,FOO,0.0,version1
8,6374ba3a231933abb2703e33,8,PAINT,FOO,0.0,version1
9,636cced3a7d40d730afb7b83,9,PAINT,FOO,0.0,version1
10,6360f4a7a3145f1256fcdd99,10,PAINT,FOO,0.0,version1
11,636a2a50a3145f1256fdd7fd,11,PAINT,FOO,0.0,version1
12,636cced0a7d40d730afb7b80,12,PAINT,FOO,0.0,version1
13,636a2a4fa3145f1256fdd7fc,13,PAINT,FOO,0.0,version1
14,636cced4a7d40d730afb7b84,14,PAINT,FOO,0.0,version1
15,636e27c5a7d40d730afb8e51,15,PAINT,FOO,0.0,version1
16,63720f04231933abb2701b94,16,PAINT,FOO,0.0,version1
