sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61c0541d9195b600b5f5d1da,1,PAINT,,0.0,version1
2,61c054189195b600b5f5d1d5,2,PAINT,,0.0,version1
3,61c054129195b600b5f5d1ce,3,PAINT,,0.0,version1
4,61c054199195b600b5f5d1d6,4,PAINT,,0.0,version1
5,61c054119195b600b5f5d1cd,5,PAINT,,0.0,version1
6,61c054209195b600b5f5d1dd,6,PAINT,,0.0,version1
7,61c054109195b600b5f5d1cc,7,PAINT,,0.0,version1
8,61c0541c9195b600b5f5d1d9,8,PAINT,,0.0,version1
9,61c0541f9195b600b5f5d1dc,9,PAINT,,0.0,version1
10,61c18fa648d1967c9e538167,10,PAINT,,0.0,version1
11,61c054179195b600b5f5d1d4,11,PAINT,,0.0,version1
12,61c05e4c584d35fb3ab19595,12,PAINT,,0.0,version1
13,61c0541a9195b600b5f5d1d7,13,PAINT,,0.0,version1
14,61c0541b9195b600b5f5d1d8,14,PAINT,,0.0,version1
15,61c05bea584d35fb3ab1956a,15,PAINT,,0.0,version1
16,61c0541e9195b600b5f5d1db,16,PAINT,,0.0,version1
