sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61e7d3a00660c83c4796f695,1,PAINT,,0.0,version1
2,61d697007412358bc7cb6178,2,PAINT,,0.0,version1
3,61e7d3a40660c83c4796f6ab,3,PAINT,,0.0,version1
4,6331846f60de5ff993ed7dbe,4,PAINT,charming_houses,0.0,version1
5,61d69c7f7412358bc7cb61de,5,PAINT,,0.0,version1
6,6321af9b60de5ff993ed05a9,6,PAINT,DRA,0.0,version1
7,61adbdf00b9699924a1a3f06,7,PAINT,,0.0,version1
8,61d68fab7412358bc7cb60e4,8,PAINT,,0.0,version1
9,61c0581a584d35fb3ab194f2,9,PAINT,,0.0,version1
10,61e7d3a00660c83c4796f690,10,PAINT,,0.0,version1
11,62fcd52ea9e3310549e5b92b,11,PAINT,DRA,0.0,version1
12,61adbdef0b9699924a1a3eff,12,PAINT,,0.0,version1
13,61e7d3a10660c83c4796f698,13,PAINT,,0.0,version1
14,61c5ad447412358bc7cb36ea,14,PAINT,,0.0,version1
15,61e7d3a60660c83c4796f6b2,15,PAINT,,0.0,version1
16,61e7d39f0660c83c4796f68d,16,PAINT,,0.0,version1
