sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6267b9dad2a541bce167c7fb,1,PAINT,,0.0,version1
2,6295e3279386b7aedbd70f56,2,PAINT,OBJ,0.0,version1
3,61caeb2f7412358bc7cb4755,3,PAINT,,0.0,version1
4,62611a06b571ac9f45e8ebec,4,PAINT,,0.0,version1
5,6267b9d7d2a541bce167c7f8,5,PAINT,,0.0,version1
6,6267b9d9d2a541bce167c7fa,6,PAINT,,0.0,version1
7,62611a07b571ac9f45e8ebee,7,PAINT,,0.0,version1
8,62611a05b571ac9f45e8ebeb,8,PAINT,,0.0,version1
9,61caeb2f7412358bc7cb4757,9,PAINT,,0.0,version1
10,6255327e73446f580902d4f5,10,PAINT,,0.0,version1
11,6295e3289386b7aedbd70f57,11,PAINT,OBJ,0.0,version1
12,6255328373446f580902d4f9,12,PAINT,,0.0,version1
13,6295e3239386b7aedbd70f53,13,PAINT,OBJ,0.0,version1
14,6267b9d8d2a541bce167c7f9,14,PAINT,,0.0,version1
15,62611a04b571ac9f45e8ebea,15,PAINT,,0.0,version1
16,6267b9dbd2a541bce167c7fc,16,PAINT,,0.0,version1
