sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,617a712db5e166506a83ad3b,1,PAINT,,0.0,version1
2,6180f93eb5e166506a83b37c,2,PAINT,,0.0,version1
3,61790b6cb5e166506a83ab4e,3,PAINT,,0.0,version1
4,6166c29395170cc3828b0f6b,4,PAINT,,0.0,version1
5,6166c02895170cc3828b0f23,5,PAINT,,0.0,version1
6,6172955bb5e166506a83a2d5,6,PAINT,,0.0,version1
7,6179074eb5e166506a83aae9,7,PAINT,,0.0,version1
8,61790a3bb5e166506a83ab2d,8,PAINT,,0.0,version1
9,617a73cdb5e166506a83ada7,9,PAINT,,0.0,version1
10,616febdab9ac9205edbd0f14,10,PAINT,,0.0,version1
11,6166ba6e95170cc3828b0ed9,11,PAINT,,0.0,version1
12,617a740db5e166506a83adb3,12,PAINT,,0.0,version1
13,617a73e3b5e166506a83adab,13,PAINT,,0.0,version1
14,617f94a6b5e166506a83b15b,14,PAINT,,0.0,version1
15,618b72da6ac28a0ab9b2bf4c,15,PAINT,,0.0,version1
16,6179114fb5e166506a83abd6,16,PAINT,,0.0,version1
