sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6304b8b8a9e3310549e5e868,1,PAINT,PET,0.0,version1
2,6304b8b6a9e3310549e5e864,2,PAINT,,0.0,version1
3,61bb0620a4417b2cd1bfb91c,3,PAINT,,0.0,version1
4,61bc7ad7c5eb11567ead4357,4,PAINT,,0.0,version1
5,61a9b34f08789e1c308767d5,5,PAINT,,0.0,version1
6,61a9b34e08789e1c308767ca,6,PAINT,,0.0,version1
7,61a9b34e08789e1c308767cf,7,PAINT,,0.0,version1
8,61a9b34f08789e1c308767d2,8,PAINT,,0.0,version1
9,61a9b34f08789e1c308767d8,9,PAINT,,0.0,version1
10,62e90e51892f399c79a6fc72,10,PAINT,PET,0.0,version1
11,61a9b34f08789e1c308767d3,11,PAINT,,0.0,version1
12,61a9b34e08789e1c308767ce,12,PAINT,,0.0,version1
13,61a9b34f08789e1c308767d4,13,PAINT,,0.0,version1
14,626b8b20adf1572982bb667a,14,PAINT,PET,0.0,version1
15,61bb05b4a4417b2cd1bfb8f7,15,PAINT,,0.0,version1
16,61a9b35008789e1c308767dc,16,PAINT,,0.0,version1
