sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,628a58265b1b45322be4c0cc,1,PAINT,ANI,0.0,version1
2,62972ecc9c244a45014be300,2,PAINT,PET,0.0,version1
3,62972ed59c244a45014be309,3,PAINT,PET,0.0,version1
4,628a58295b1b45322be4c0d6,4,PAINT,ANI,0.0,version1
5,628a58255b1b45322be4c0ca,5,PAINT,ANI,0.0,version1
6,628a58275b1b45322be4c0d0,6,PAINT,ANI,0.0,version1
7,62972ecd9c244a45014be301,7,PAINT,ANI,0.0,version1
8,62972eca9c244a45014be2fe,8,PAINT,PET,0.0,version1
9,62972ed39c244a45014be307,9,PAINT,PET,0.0,version1
10,626b8b0cadf1572982bb6662,10,PAINT,PET,0.0,version1
11,628a58245b1b45322be4c0c6,11,PAINT,,0.0,version1
12,62972ed69c244a45014be30a,12,PAINT,PET,0.0,version1
13,62972ed49c244a45014be308,13,PAINT,PET,0.0,version1
14,626b8b0badf1572982bb6660,14,PAINT,,0.0,version1
15,62972ecb9c244a45014be2ff,15,PAINT,PET,0.0,version1
16,62972ecf9c244a45014be303,16,PAINT,PET,0.0,version1
