sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61af3af7a2977bb919fa65e7,1,PAINT,,0.0,version1
2,620df6b508a98e2f5a003e2c,2,PAINT,,0.0,version1
3,618b777a6ac28a0ab9b2bfd8,3,PAINT,,0.0,version1
4,61efb84781de53db68ef2406,4,PAINT,,0.0,version1
5,61b1d1e484caec0d15ba34bc,5,PAINT,,0.0,version1
6,61b1d1e484caec0d15ba34bb,6,PAINT,,0.0,version1
7,61b1d1e484caec0d15ba34ba,7,PAINT,,0.0,version1
8,61f4f7d2d725dfe60a9c3fa6,8,PAINT,,0.0,version1
9,61f4f736d725dfe60a9c3f86,9,PAINT,,0.0,version1
10,61b343e537813a9fda32768c,10,PAINT,,0.0,version1
11,61b3412237813a9fda327655,11,PAINT,,0.0,version1
12,61b3412237813a9fda327654,12,PAINT,,0.0,version1
13,61d69f837412358bc7cb6210,13,PAINT,,0.0,version1
14,61af3a49a2977bb919fa65c9,14,PAINT,,0.0,version1
15,61ea55b70660c83c479715d3,15,PAINT,,0.0,version1
16,61af3af7a2977bb919fa65e6,16,PAINT,,0.0,version1
