sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61af3998a2977bb919fa65a2,1,PAINT,,0.0,version1
2,61af3997a2977bb919fa65a1,2,PAINT,,0.0,version1
3,61b70068d33e707408575052,3,PAINT,,0.0,version1
4,61c054069195b600b5f5d1c1,4,PAINT,,0.0,version1
5,61c1979b9f6f55ecb8466843,5,PAINT,,0.0,version1
6,61e63afe0660c83c4796e097,6,PAINT,,0.0,version1
7,61af3997a2977bb919fa65a0,7,PAINT,,0.0,version1
8,61af3998a2977bb919fa65a4,8,PAINT,,0.0,version1
9,61c054169195b600b5f5d1d3,9,PAINT,,0.0,version1
10,61c1979a9f6f55ecb8466842,10,PAINT,,0.0,version1
11,61c054079195b600b5f5d1c2,11,PAINT,,0.0,version1
12,61b075cbe7429fa60678cc8a,12,PAINT,,0.0,version1
13,61af3998a2977bb919fa65a3,13,PAINT,,0.0,version1
14,61a9b34e08789e1c308767c9,14,PAINT,,0.0,version1
15,61b1d21284caec0d15ba34c6,15,PAINT,,0.0,version1
16,61e63afc0660c83c4796e08d,16,PAINT,,0.0,version1
