sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62866539e60a99787306e7e4,1,PAINT,,0.0,version1
2,62667aa3d2a541bce167ba91,2,PAINT,,0.0,version1
3,62850e9ae60a99787306dd4a,3,PAINT,,0.0,version1
4,62850e96e60a99787306dd38,4,PAINT,,0.0,version1
5,63873f198062ac7fcbcb48ea,5,PAINT,,0.0,version1
6,62667aa5d2a541bce167ba93,6,PAINT,,0.0,version1
7,626a5f65d2a541bce167e781,7,PAINT,,0.0,version1
8,62667a9fd2a541bce167ba8c,8,PAINT,,0.0,version1
9,62667aa0d2a541bce167ba8d,9,PAINT,,0.0,version1
10,62866537e60a99787306e7e2,10,PAINT,,0.0,version1
11,6267b9c1d2a541bce167c7df,11,PAINT,,0.0,version1
12,62850e95e60a99787306dd37,12,PAINT,,0.0,version1
13,62866538e60a99787306e7e3,13,PAINT,,0.0,version1
14,626a5f6cd2a541bce167e789,14,PAINT,,0.0,version1
15,62866536e60a99787306e7e1,15,PAINT,,0.0,version1
16,62667aa0d2a541bce167ba8e,16,PAINT,,0.0,version1
