sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,616e85fe95170cc3828b14c8,1,PAINT,,0.0,version1
2,6177cdeeb5e166506a83a9df,2,PAINT,,0.0,version1
3,616eb2dd95170cc3828b16e5,3,PAINT,,0.0,version1
4,616fe768b9ac9205edbd0e71,4,PAINT,,0.0,version1
5,617908ddb5e166506a83ab09,5,PAINT,,0.0,version1
6,61729573b5e166506a83a2d9,6,PAINT,,0.0,version1
7,6167eb2395170cc3828b0feb,7,PAINT,,0.0,version1
8,616fe7dcb9ac9205edbd0e85,8,PAINT,,0.0,version1
9,616e85e595170cc3828b14c4,9,PAINT,,0.0,version1
10,616fe4a8b9ac9205edbd0e19,10,PAINT,,0.0,version1
11,616eb30295170cc3828b16e9,11,PAINT,,0.0,version1
12,61790d8bb5e166506a83ab7a,12,PAINT,,0.0,version1
13,616fe6a5b9ac9205edbd0e5b,13,PAINT,,0.0,version1
14,6177c6d3b5e166506a83a87a,14,PAINT,,0.0,version1
15,617a7062b5e166506a83ad27,15,PAINT,,0.0,version1
16,616fe5b2b9ac9205edbd0e39,16,PAINT,,0.0,version1
