sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,640b06202198b6f62543e76d,1,PAINT,NAT,0.0,version1
2,64f1b033b5f53940ba776acb,2,PAINT,NAT,0.0,version1
3,641af6232709bfc144c21a76,3,PAINT,countryside,0.0,version1
4,6435567df912e511cc9e3326,4,PAINT,NAT,0.0,version1
5,61b6ffb2d33e707408575036,5,PAINT,,0.0,version1
6,638499f78062ac7fcbcb2c10,6,PAINT,COL,0.0,version1
7,64faf54dd35d600a4a5611a3,7,PAINT,NAT,0.0,version1
8,641da2182709bfc144c260bd,8,PAINT,NAT,0.0,version1
9,63931ce0473e71ee5e376731,9,PAINT,NAT,0.0,version1
10,641d49d12709bfc144c253da,10,PAINT,NAT,0.0,version1
11,643fc917e616ced1543c0940,11,PAINT,man_made_scenery,0.0,version1
12,641307fe2709bfc144c1638c,12,PAINT,countryside,0.0,version1
13,646b56b0f28f95ddf6dd3703,13,PAINT,NAT,0.0,version1
14,6425655f2709bfc144c2e5d2,14,PAINT,NAT,0.0,version1
15,62bc3d8d9876e4a1a6005584,15,PAINT,NAT,0.0,version1
16,63f8bf00097b43395ea249e1,16,PAINT,countryside,0.0,version1
