sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,636b80488123ad5cd16ef22c,1,PAINT,OBJ,0.0,version1
2,63736d72231933abb2702cbd,2,PAINT,OBJ,0.0,version1
3,63736d6d231933abb2702cb7,3,PAINT,,0.0,version1
4,637cb59d231933abb2707c06,4,PAINT,,0.0,version1
5,63736d84231933abb2702cd4,5,PAINT,OBJ,0.0,version1
6,6374ba51231933abb2703e5f,6,PAINT,TRA,0.0,version1
7,63775f0f231933abb2706070,7,PAINT,OBJ,0.0,version1
8,636ccec1a7d40d730afb7b6a,8,PAINT,man_made_scenery,0.0,version1
9,636ccebea7d40d730afb7b65,9,PAINT,OBJ,0.0,version1
10,636ccebda7d40d730afb7b64,10,PAINT,NAT,0.0,version1
11,637b57fd231933abb2706d31,11,PAINT,COL,0.0,version1
12,63639ae5a3145f1256fd0300,12,PAINT,FLO,0.0,version1
13,637619d3231933abb2704f07,13,PAINT,TRA,0.0,version1
14,636ccebaa7d40d730afb7b61,14,PAINT,DRA,0.0,version1
15,631884c560de5ff993ecd5f3,15,PAINT,NAT,0.0,version1
16,62dfd3b1f5ffecb0137ae4e8,16,PAINT,NAT,0.0,version1
