sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6343f7abdf60b1b10e0faad3,1,PAINT,PET,0.0,version1
2,63bfdb842f9fd90bd0246f5f,2,PAINT,,0.0,version1
3,6342a634df60b1b10e0f9ca7,3,PAINT,PET,0.0,version1
4,634f8cd1a3145f1256fc5b14,4,PAINT,,0.0,version1
5,6342a635df60b1b10e0f9ca8,5,PAINT,PET,0.0,version1
6,6342b05cdf60b1b10e0f9e02,6,PAINT,PET,0.0,version1
7,6343f7aedf60b1b10e0faad6,7,PAINT,ANI,0.0,version1
8,63bfdb812f9fd90bd0246f5b,8,PAINT,PET,0.0,version1
9,63d79f6a15945b3985991589,9,PAINT,PET,0.0,version1
10,63bfdb372f9fd90bd0246f49,10,PAINT,,0.0,version1
11,6347f3bcdf60b1b10e0fdb94,11,PAINT,,0.0,version1
12,63d8db6715945b3985991be6,12,PAINT,PET,0.0,version1
13,6343f7acdf60b1b10e0faad4,13,PAINT,PET,0.0,version1
14,6405d5d64ecce27a6fe038ca,14,PAINT,PET,0.0,version1
15,63bfdb832f9fd90bd0246f5e,15,PAINT,PET,0.0,version1
16,636a2a65a3145f1256fdd81b,16,PAINT,PET,0.0,version1
