sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6422d8182709bfc144c2a67e,1,PAINT,travel,0.0,version1
2,642aa1182709bfc144c31e30,2,PAINT,LAN,0.0,version1
3,633575bddf60b1b10e0f78eb,3,PAINT,LAN,0.0,version1
4,642565882709bfc144c2e611,4,PAINT,man_made_scenery,0.0,version1
5,63e61e571be6ac9ae0a18ba5,5,PAINT,LAN,0.0,version1
6,642406592709bfc144c2c4e5,6,PAINT,WIN,0.0,version1
7,642aa0ec2709bfc144c31dea,7,PAINT,LAN,0.0,version1
8,642aa1072709bfc144c31e12,8,PAINT,LAN,0.0,version1
9,63ee04181be6ac9ae0a1bc4a,9,PAINT,LAN,0.0,version1
10,642aa1062709bfc144c31e11,10,PAINT,,0.0,version1
11,6426bb8f2709bfc144c300ee,11,PAINT,LAN,0.0,version1
12,63ee04131be6ac9ae0a1bc41,12,PAINT,LAN,0.0,version1
13,63e4d0271be6ac9ae0a17bcf,13,PAINT,LAN,0.0,version1
14,642bffeb2709bfc144c33b37,14,PAINT,LAN,0.0,version1
15,63c9483d15945b398598f798,15,PAINT,LAN,0.0,version1
16,639078f1473e71ee5e374e2b,16,PAINT,man_made_scenery,0.0,version1
