sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,65363b2d7ceb043b1a8a6d6b,1,PAINT,,0.0,version1
2,6447a30901e6c46b636d958e,2,PAINT,,0.0,version1
3,61f4f8e2d725dfe60a9c3fe6,3,PAINT,OBJ,0.0,version1
4,6538c8e8c13dfaa4c24ffe9c,4,PAINT,,0.0,version1
5,653f7a2ba37cc17c0f857878,5,PAINT,,0.0,version1
6,653f1d04a37cc17c0f856014,6,PAINT,,0.0,version1
7,6538c900c13dfaa4c24ffeca,7,PAINT,NAT,0.0,version1
8,642186bd2709bfc144c283ba,8,PAINT,ANI,0.0,version1
9,653f7a2ca37cc17c0f85787a,9,PAINT,,0.0,version1
10,646de89be72c4297fd3236be,10,PAINT,HOM,0.0,version1
11,652d09132c6230b0ee4823ed,11,PAINT,SEA,0.0,version1
12,617f97c8b5e166506a83b1cf,12,PAINT,,0.0,version1
13,63775f0f231933abb270606f,13,PAINT,,0.0,version1
14,653f834ba37cc17c0f857d87,14,PAINT,,0.0,version1
15,642e95736a19448e1f86bb23,15,PAINT,FES,0.0,version1
16,653f4f56a37cc17c0f856b24,16,PAINT,,0.0,version1
