sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64b517559313055ba5329ee7,1,PAINT,NAT,0.0,version1
2,64464e3a01e6c46b636d7d15,2,PAINT,NAT,0.0,version1
3,641307f32709bfc144c1637d,3,PAINT,NAT,0.0,version1
4,644501b301e6c46b636d67ae,4,PAINT,NAT,0.0,version1
5,64ae9eec9313055ba53215b9,5,PAINT,NAT,0.0,version1
6,649c2113d5f8ce50f9805c86,6,PAINT,NAT,0.0,version1
7,64981dac1ae5fb72cadc10de,7,PAINT,NAT,0.0,version1
8,63f8bcfe097b43395ea2493f,8,PAINT,NAT,0.0,version1
9,642186b42709bfc144c283ae,9,PAINT,NAT,0.0,version1
10,63ecb2811be6ac9ae0a1ae80,10,PAINT,NAT,0.0,version1
11,64981db61ae5fb72cadc10ec,11,PAINT,,0.0,version1
12,6294c4509386b7aedbd70501,12,PAINT,NAT,0.0,version1
13,649047f3b2aadc44a3099e5a,13,PAINT,NAT,0.0,version1
14,6320628c60de5ff993ecf8a1,14,PAINT,NAT,0.0,version1
15,646de896e72c4297fd3236b7,15,PAINT,NAT,0.0,version1
16,63f755b3ee3e7c890f9aa2a5,16,PAINT,NAT,0.0,version1
