sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,626119ffb571ac9f45e8ebe4,1,PAINT,,0.0,version1
2,62135507a58eb44be7af85a5,2,PAINT,,0.0,version1
3,62611a03b571ac9f45e8ebe8,3,PAINT,,0.0,version1
4,62690e64d2a541bce167da68,4,PAINT,,0.0,version1
5,61cc25e17412358bc7cb4bcd,5,PAINT,,0.0,version1
6,626119f8b571ac9f45e8ebdb,6,PAINT,,0.0,version1
7,62690e69d2a541bce167da6d,7,PAINT,,0.0,version1
8,618e50116ac28a0ab9b2cac9,8,PAINT,,0.0,version1
9,61cc25e37412358bc7cb4bd9,9,PAINT,,0.0,version1
10,626119feb571ac9f45e8ebe2,10,PAINT,,0.0,version1
11,626119f9b571ac9f45e8ebdd,11,PAINT,,0.0,version1
12,62611a01b571ac9f45e8ebe6,12,PAINT,,0.0,version1
13,62611a00b571ac9f45e8ebe5,13,PAINT,,0.0,version1
14,61cc25e27412358bc7cb4bcf,14,PAINT,,0.0,version1
15,626119fcb571ac9f45e8ebe0,15,PAINT,,0.0,version1
16,618e4fde6ac28a0ab9b2cac1,16,PAINT,,0.0,version1
