sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62cc0c9e9876e4a1a600a547,1,PAINT,man_made_scenery,0.0,version1
2,62d13f69f5ffecb013799e68,2,PAINT,man_made_scenery,0.0,version1
3,62d93cf1f5ffecb01379e0b7,3,PAINT,,0.0,version1
4,62c809fc9876e4a1a6009d65,4,PAINT,man_made_scenery,0.0,version1
5,62cc0c9e9876e4a1a600a548,5,PAINT,man_made_scenery,0.0,version1
6,62c809fd9876e4a1a6009d66,6,PAINT,man_made_scenery,0.0,version1
7,620c9aef08a98e2f5a002536,7,PAINT,,0.0,version1
8,62d14040f5ffecb013799ee2,8,PAINT,man_made_scenery,0.0,version1
9,62cd5732f5ffecb013797a44,9,PAINT,man_made_scenery,0.0,version1
10,62d13f6af5ffecb013799e6a,10,PAINT,man_made_scenery,0.0,version1
11,62d13f6af5ffecb013799e69,11,PAINT,man_made_scenery,0.0,version1
12,62d1403ff5ffecb013799ee1,12,PAINT,,0.0,version1
13,62d13f68f5ffecb013799e67,13,PAINT,man_made_scenery,0.0,version1
14,62e257f5892f399c79a6c897,14,PAINT,,0.0,version1
15,62cd5731f5ffecb013797a42,15,PAINT,man_made_scenery,0.0,version1
16,62da7a15f5ffecb01379e79b,16,PAINT,,0.0,version1
