sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62972ebf9c244a45014be2f4,1,PAINT,,0.0,version1
2,629eb98e37b6ba0e5af781cb,2,PAINT,,0.0,version1
3,62972ebe9c244a45014be2f3,3,PAINT,,0.0,version1
4,62850e8ae60a99787306dd2d,4,PAINT,,0.0,version1
5,62972ebd9c244a45014be2f2,5,PAINT,,0.0,version1
6,62972ebb9c244a45014be2f0,6,PAINT,,0.0,version1
7,6221e735a92e1086b4e2534a,7,PAINT,,0.0,version1
8,62850e8be60a99787306dd2e,8,PAINT,,0.0,version1
9,62285055d04cbab22ad67b93,9,PAINT,,0.0,version1
10,629eb98d37b6ba0e5af781ca,10,PAINT,,0.0,version1
11,6294c4619386b7aedbd70512,11,PAINT,,0.0,version1
12,6221e736a92e1086b4e25357,12,PAINT,,0.0,version1
13,62866534e60a99787306e7df,13,PAINT,,0.0,version1
14,628cb8267195fe52e6c8f054,14,PAINT,,0.0,version1
15,62972ec29c244a45014be2f7,15,PAINT,,0.0,version1
16,62972ebc9c244a45014be2f1,16,PAINT,,0.0,version1
