sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6141f34541bd31b55a079430,1,PAINT,,0.0,version1
2,6141f34541bd31b55a079437,2,PAINT,,0.0,version1
3,6141f34541bd31b55a07945d,3,PAINT,,0.0,version1
4,6141f34541bd31b55a079470,4,PAINT,,0.0,version1
5,6141f34541bd31b55a079477,5,PAINT,,0.0,version1
6,6141f34541bd31b55a079492,6,PAINT,,0.0,version1
7,6141f34541bd31b55a079499,7,PAINT,,0.0,version1
8,6141f34541bd31b55a07943f,8,PAINT,,0.0,version1
9,6141f34541bd31b55a07946a,9,PAINT,,0.0,version1
10,6141f34541bd31b55a07947f,10,PAINT,,0.0,version1
11,6141f34541bd31b55a079486,11,PAINT,,0.0,version1
12,6141f34541bd31b55a079464,12,PAINT,,0.0,version1
13,6141f34541bd31b55a079446,13,PAINT,,0.0,version1
14,6141f34541bd31b55a07944e,14,PAINT,,0.0,version1
15,6141f34541bd31b55a07948d,15,PAINT,,0.0,version1
16,6141f34541bd31b55a079454,16,PAINT,,0.0,version1
