sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62e2581a892f399c79a6c8ca,1,PAINT,,0.0,version1
2,62ebb0d1892f399c79a7147f,2,PAINT,PET,0.0,version1
3,62a94168cce6b2f7f51936ca,3,PAINT,OBJ,0.0,version1
4,628a61565b1b45322be4c1af,4,PAINT,,0.0,version1
5,62c6c69d9876e4a1a60094f3,5,PAINT,island_travel,0.0,version1
6,62fa232c892f399c79a77a6a,6,PAINT,COL,0.0,version1
7,61b85e51958f421ef1fea4f1,7,PAINT,,0.0,version1
8,62ebb0cc892f399c79a71479,8,PAINT,DRA,0.0,version1
9,62dfd3aaf5ffecb0137ae4df,9,PAINT,,0.0,version1
10,61b076c7e7429fa60678cc98,10,PAINT,,0.0,version1
11,62f0f723892f399c79a7316b,11,PAINT,COL,0.0,version1
12,61b076c7e7429fa60678cc95,12,PAINT,,0.0,version1
13,62e25802892f399c79a6c8a9,13,PAINT,NAT,0.0,version1
14,62f24837892f399c79a74027,14,PAINT,ABS,0.0,version1
15,620b4d6908a98e2f5a000fdd,15,PAINT,ABS,0.0,version1
16,62f24836892f399c79a74025,16,PAINT,NAT,0.0,version1
