sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64661498f28f95ddf6dd068f,1,PAINT,NAT,0.0,version1
2,6466149cf28f95ddf6dd0695,2,PAINT,NAT,0.0,version1
3,6466149ef28f95ddf6dd0698,3,PAINT,NAT,0.0,version1
4,645b77d23aa9895f1b24be30,4,PAINT,NAT,0.0,version1
5,642186c02709bfc144c283be,5,PAINT,OBJ,0.0,version1
6,64355681f912e511cc9e332a,6,PAINT,travel,0.0,version1
7,64661499f28f95ddf6dd0690,7,PAINT,NAT,0.0,version1
8,64661496f28f95ddf6dd068c,8,PAINT,NAT,0.0,version1
9,63dcdb0f15945b3985994683,9,PAINT,SEA,0.0,version1
10,64426c0501e6c46b636d577b,10,PAINT,NAT,0.0,version1
11,64675695f28f95ddf6dd1ef8,11,PAINT,NAT,0.0,version1
12,64635768f2485c91428d4403,12,PAINT,NAT,0.0,version1
13,6411bf7e2709bfc144c14b43,13,PAINT,travel,0.0,version1
14,63aeb9abbca7595bc8b8cbad,14,PAINT,SEA,0.0,version1
15,648c418ab2aadc44a3098f7e,15,PAINT,NAT,0.0,version1
16,64426c0601e6c46b636d577c,16,PAINT,NAT,0.0,version1
