sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6320628660de5ff993ecf897,1,PAINT,FOO,0.0,version1
2,6328597460de5ff993ed3784,2,PAINT,,0.0,version1
3,6320628660de5ff993ecf898,3,PAINT,FOO,0.0,version1
4,6320628560de5ff993ecf896,4,PAINT,FOO,0.0,version1
5,62e3b07f892f399c79a6de42,5,PAINT,FOO,0.0,version1
6,6332cf1cdf60b1b10e0f5975,6,PAINT,FOO,0.0,version1
7,6324438760de5ff993ed24c7,7,PAINT,FOO,0.0,version1
8,6329945460de5ff993ed4176,8,PAINT,FOO,0.0,version1
9,6332cf34df60b1b10e0f59a8,9,PAINT,,0.0,version1
10,6332cf32df60b1b10e0f59a4,10,PAINT,FOO,0.0,version1
11,6329945360de5ff993ed4173,11,PAINT,FOO,0.0,version1
12,6320628760de5ff993ecf899,12,PAINT,FOO,0.0,version1
13,6331847160de5ff993ed7dc2,13,PAINT,FOO,0.0,version1
14,632afaa960de5ff993ed4e82,14,PAINT,FOO,0.0,version1
15,6329945360de5ff993ed4174,15,PAINT,FOO,0.0,version1
16,632afaaa60de5ff993ed4e84,16,PAINT,FOO,0.0,version1
