sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,616d2d9395170cc3828b122f,1,PAINT,,0.0,version1
2,618b77cd6ac28a0ab9b2bfe6,2,PAINT,,0.0,version1
3,617bb1eeb5e166506a83aef7,3,PAINT,,0.0,version1
4,617f93dbb5e166506a83b13f,4,PAINT,,0.0,version1
5,616d335d95170cc3828b12c7,5,PAINT,,0.0,version1
6,618e50ed6ac28a0ab9b2caed,6,PAINT,,0.0,version1
7,618cd9886ac28a0ab9b2c573,7,PAINT,,0.0,version1
8,617a6ec8b5e166506a83acef,8,PAINT,,0.0,version1
9,6167eef695170cc3828b109b,9,PAINT,,0.0,version1
10,618e51136ac28a0ab9b2caf1,10,PAINT,,0.0,version1
11,618e4d1c6ac28a0ab9b2ca6d,11,PAINT,,0.0,version1
12,6167eebb95170cc3828b1092,12,PAINT,,0.0,version1
13,6166c04195170cc3828b0f27,13,PAINT,,0.0,version1
14,618527f5b5e166506a83bcf8,14,PAINT,,0.0,version1
15,616d2f8095170cc3828b1267,15,PAINT,,0.0,version1
16,6183aedfb5e166506a83babe,16,PAINT,,0.0,version1
