sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,617669beb5e166506a83a440,1,PAINT,,0.0,version1
2,618a2e9d6ac28a0ab9b2be54,2,PAINT,,0.0,version1
3,617664f9b5e166506a83a414,3,PAINT,,0.0,version1
4,617a731fb5e166506a83ad8b,4,PAINT,,0.0,version1
5,6177ccabb5e166506a83a9b4,5,PAINT,,0.0,version1
6,61766752b5e166506a83a428,6,PAINT,,0.0,version1
7,61766c5eb5e166506a83a47c,7,PAINT,,0.0,version1
8,61766c20b5e166506a83a474,8,PAINT,,0.0,version1
9,618a2e6e6ac28a0ab9b2be4c,9,PAINT,,0.0,version1
10,618a2df76ac28a0ab9b2be38,10,PAINT,,0.0,version1
11,617a722fb5e166506a83ad67,11,PAINT,,0.0,version1
12,618a2eb06ac28a0ab9b2be58,12,PAINT,,0.0,version1
13,618a2d7a6ac28a0ab9b2be2c,13,PAINT,,0.0,version1
14,61766b83b5e166506a83a460,14,PAINT,,0.0,version1
15,617a6e0bb5e166506a83acd1,15,PAINT,,0.0,version1
16,61766461b5e166506a83a409,16,PAINT,,0.0,version1
