sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61a5ee3095e87188a3455a55,1,PAINT,,0.0,version1
2,61a4a1fd803b9e4a449fbe0e,2,PAINT,,0.0,version1
3,61a49fbf803b9e4a449fbd91,3,PAINT,,0.0,version1
4,617f9848b5e166506a83b1e3,4,PAINT,,0.0,version1
5,628cb8417195fe52e6c8f085,5,PAINT,ANI,0.0,version1
6,6295e6289386b7aedbd70f5e,6,PAINT,ANI,0.0,version1
7,61adbd7a0b9699924a1a3ede,7,PAINT,,0.0,version1
8,61a4a1a1803b9e4a449fbdee,8,PAINT,,0.0,version1
9,6294c46b9386b7aedbd70532,9,PAINT,ANI,0.0,version1
10,61a49fbf803b9e4a449fbd8b,10,PAINT,,0.0,version1
11,61a49fbf803b9e4a449fbd8f,11,PAINT,,0.0,version1
12,628cb8427195fe52e6c8f086,12,PAINT,ANI,0.0,version1
13,629eb9c137b6ba0e5af781ec,13,PAINT,ANI,0.0,version1
14,628b94013fd4f729e1c78625,14,PAINT,ANI,0.0,version1
15,61a5ee3095e87188a3455a53,15,PAINT,,0.0,version1
16,6295e6299386b7aedbd70f5f,16,PAINT,ANI,0.0,version1
