sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61b85e6b958f421ef1fea4f9,1,PAINT,,0.0,version1
2,61b1d1e384caec0d15ba34b5,2,PAINT,,0.0,version1
3,61b1d1e384caec0d15ba34b1,3,PAINT,,0.0,version1
4,61b1d1e484caec0d15ba34b8,4,PAINT,,0.0,version1
5,61b1d1e384caec0d15ba34b2,5,PAINT,,0.0,version1
6,61b1d1e284caec0d15ba34ad,6,PAINT,,0.0,version1
7,61b1d1e384caec0d15ba34ae,7,PAINT,,0.0,version1
8,61b1d1e384caec0d15ba34b3,8,PAINT,,0.0,version1
9,61b1d1e384caec0d15ba34af,9,PAINT,,0.0,version1
10,61b3412237813a9fda327653,10,PAINT,,0.0,version1
11,61b1d1e384caec0d15ba34b6,11,PAINT,,0.0,version1
12,61b1d1e384caec0d15ba34b0,12,PAINT,,0.0,version1
13,61b3412237813a9fda327652,13,PAINT,,0.0,version1
14,61b85b42958f421ef1fea449,14,PAINT,,0.0,version1
15,61b1d1e384caec0d15ba34b7,15,PAINT,,0.0,version1
16,61b1d1e484caec0d15ba34b9,16,PAINT,,0.0,version1
