sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61a9b34f08789e1c308767d9,1,PAINT,,0.0,version1
2,61a9b35008789e1c308767de,2,PAINT,,0.0,version1
3,61bb05f1a4417b2cd1bfb90d,3,PAINT,,0.0,version1
4,61a9b35008789e1c308767df,4,PAINT,,0.0,version1
5,61c1979e9f6f55ecb8466846,5,PAINT,,0.0,version1
6,61a9b35008789e1c308767dd,6,PAINT,,0.0,version1
7,61b343e737813a9fda32769c,7,PAINT,,0.0,version1
8,61a9b35008789e1c308767e2,8,PAINT,,0.0,version1
9,61a9b34f08789e1c308767db,9,PAINT,,0.0,version1
10,61a9b34f08789e1c308767d7,10,PAINT,,0.0,version1
11,61a9b35008789e1c308767e0,11,PAINT,,0.0,version1
12,61a9b35008789e1c308767e3,12,PAINT,,0.0,version1
13,61bb05cba4417b2cd1bfb8ff,13,PAINT,,0.0,version1
14,61bb06a8a4417b2cd1bfb956,14,PAINT,,0.0,version1
15,61a9b35008789e1c308767e4,15,PAINT,,0.0,version1
16,61c2f512ed9188e5e70ed4f6,16,PAINT,,0.0,version1
