sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,636245a4a3145f1256fcee38,1,PAINT,,0.0,version1
2,652687ee91533be72f087ecd,2,PAINT,travel,0.0,version1
3,650038a5d35d600a4a564114,3,PAINT,travel,0.0,version1
4,64d36cede3cc3e2fb801d3a2,4,PAINT,travel,0.0,version1
5,6426bb692709bfc144c300ad,5,PAINT,travel,0.0,version1
6,65265ab391533be72f087796,6,PAINT,travel,0.0,version1
7,61adb9a20b9699924a1a3df8,7,PAINT,travel,0.0,version1
8,63b7f35ebca7595bc8b91383,8,PAINT,travel,0.0,version1
9,64be4f6915da672b6dc4b372,9,PAINT,travel,0.0,version1
10,61adb9a20b9699924a1a3df6,10,PAINT,travel,0.0,version1
11,61adb9a10b9699924a1a3def,11,PAINT,travel,0.0,version1
12,61adb9a20b9699924a1a3df3,12,PAINT,travel,0.0,version1
13,642bfe962709bfc144c33a93,13,PAINT,travel,0.0,version1
14,6437ec56e616ced1543b87ad,14,PAINT,travel,0.0,version1
15,61adb9a10b9699924a1a3df1,15,PAINT,travel,0.0,version1
16,645cbc583aa9895f1b24d654,16,PAINT,travel,0.0,version1
