sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6141f34541bd31b55a0793e9,1,PAINT,,0.0,version1
2,6141f34541bd31b55a0793e1,2,PAINT,,0.0,version1
3,6141f34541bd31b55a0793ce,3,PAINT,,0.0,version1
4,6141f34541bd31b55a07941a,4,PAINT,,0.0,version1
5,6141f34541bd31b55a079421,5,PAINT,,0.0,version1
6,6141f34541bd31b55a0793ff,6,PAINT,,0.0,version1
7,6141f34541bd31b55a079405,7,PAINT,,0.0,version1
8,6141f34541bd31b55a079412,8,PAINT,,0.0,version1
9,6141f34541bd31b55a0793f0,9,PAINT,,0.0,version1
10,6141f34541bd31b55a07940a,10,PAINT,,0.0,version1
11,6141f34541bd31b55a0793f7,11,PAINT,,0.0,version1
12,6141f34541bd31b55a0793d3,12,PAINT,,0.0,version1
13,6141f34541bd31b55a0793c9,13,PAINT,,0.0,version1
14,6141f34541bd31b55a0793db,14,PAINT,,0.0,version1
15,6141f34541bd31b55a079429,15,PAINT,,0.0,version1
16,6141f34541bd31b55a0793c5,16,PAINT,,0.0,version1
