sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,619de3142e0553e7d8b57270,1,PAINT,,0.0,version1
2,6166ba0995170cc3828b0ec9,2,PAINT,,0.0,version1
3,619f51667fb8b15532ef84ee,3,PAINT,,0.0,version1
4,6177c96cb5e166506a83a8d6,4,PAINT,,0.0,version1
5,616fe66ab9ac9205edbd0e57,5,PAINT,,0.0,version1
6,6194a73e750e3c7dcc134184,6,PAINT,,0.0,version1
7,618b73206ac28a0ab9b2bf58,7,PAINT,,0.0,version1
8,616fe2b9b9ac9205edbd0dfd,8,PAINT,,0.0,version1
9,6177c957b5e166506a83a8d2,9,PAINT,,0.0,version1
10,6166b9d395170cc3828b0ec1,10,PAINT,,0.0,version1
11,6177ccefb5e166506a83a9c0,11,PAINT,,0.0,version1
12,6177c772b5e166506a83a897,12,PAINT,,0.0,version1
13,6194a818750e3c7dcc1341b8,13,PAINT,,0.0,version1
14,62f24ade892f399c79a7404e,14,PAINT,,0.0,version1
15,61976dbd750e3c7dcc1347ff,15,PAINT,,0.0,version1
16,6177ce32b5e166506a83a9eb,16,PAINT,,0.0,version1
