sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63c7d0a415945b398598ecc8,1,PAINT,man_made_scenery,0.0,version1
2,63dcdb1415945b398599468a,2,PAINT,NAT,0.0,version1
3,6390790d473e71ee5e374e50,3,PAINT,NAT,0.0,version1
4,63db889c15945b39859936a6,4,PAINT,LAN,0.0,version1
5,63e0d74515945b3985995aaa,5,PAINT,NAT,0.0,version1
6,63dcdb1315945b3985994689,6,PAINT,countryside,0.0,version1
7,63dcdb1715945b398599468e,7,PAINT,NAT,0.0,version1
8,62dfd2eff5ffecb0137ae4a9,8,PAINT,DRA,0.0,version1
9,63db889915945b39859936a3,9,PAINT,NAT,0.0,version1
10,63dcdb0d15945b3985994681,10,PAINT,NAT,0.0,version1
11,63c681972d7416019d9f3f15,11,PAINT,NAT,0.0,version1
12,63c12702dc8de1e7b38ad3f5,12,PAINT,NAT,0.0,version1
13,6294c45e9386b7aedbd70510,13,PAINT,NAT,0.0,version1
14,63931cdd473e71ee5e37672e,14,PAINT,NAT,0.0,version1
15,63e0d74615945b3985995aac,15,PAINT,NAT,0.0,version1
16,62e2580a892f399c79a6c8b5,16,PAINT,NAT,0.0,version1
