sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6329945660de5ff993ed4178,1,PAINT,FOO,0.0,version1
2,62ff6e22a9e3310549e5d46f,2,PAINT,FOO,0.0,version1
3,632d9e0b60de5ff993ed647c,3,PAINT,FOO,0.0,version1
4,62482def24cb8e8b164e0825,4,PAINT,FOO,0.0,version1
5,632d9e0460de5ff993ed6472,5,PAINT,FOO,0.0,version1
6,632d9e0960de5ff993ed6479,6,PAINT,FOO,0.0,version1
7,632d9e0060de5ff993ed646d,7,PAINT,FOO,0.0,version1
8,632d9e0560de5ff993ed6473,8,PAINT,FOO,0.0,version1
9,632d9e0860de5ff993ed6478,9,PAINT,FOO,0.0,version1
10,632afac060de5ff993ed4ea2,10,PAINT,FOO,0.0,version1
11,6308a9dfc27290e69f19278f,11,PAINT,FOO,0.0,version1
12,62de8866f5ffecb01379fc8e,12,PAINT,FOO,0.0,version1
13,62e7b2c1892f399c79a6ee3d,13,PAINT,FOO,0.0,version1
14,6308a9e2c27290e69f192792,14,PAINT,FOO,0.0,version1
15,632d9e0b60de5ff993ed647b,15,PAINT,FOO,0.0,version1
16,62482dec24cb8e8b164e081b,16,PAINT,FOO,0.0,version1
