sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61b85c63958f421ef1fea48b,1,PAINT,,0.0,version1
2,61b6ff4fd33e707408574fea,2,PAINT,,0.0,version1
3,61b6fe25d33e707408574f9a,3,PAINT,,0.0,version1
4,61b85e06958f421ef1fea4dd,4,PAINT,TRA,0.0,version1
5,61b70142d33e707408575085,5,PAINT,,0.0,version1
6,61b6ff74d33e707408575026,6,PAINT,,0.0,version1
7,6328596f60de5ff993ed377d,7,PAINT,,0.0,version1
8,61b6ff5fd33e707408575021,8,PAINT,,0.0,version1
9,61b9c16c0e52680e19f12c2d,9,PAINT,TRA,0.0,version1
10,6329944a60de5ff993ed4167,10,PAINT,TRA,0.0,version1
11,6328596b60de5ff993ed3779,11,PAINT,,0.0,version1
12,61b6ff82d33e70740857502a,12,PAINT,,0.0,version1
13,61b9c1580e52680e19f12c29,13,PAINT,TRA,0.0,version1
14,61b6fe16d33e707408574f96,14,PAINT,,0.0,version1
15,61b6fe36d33e707408574fa1,15,PAINT,,0.0,version1
16,61b70142d33e707408575087,16,PAINT,,0.0,version1
