sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,638f2288473e71ee5e373a1a,1,PAINT,NAT,0.0,version1
2,6391bf0d473e71ee5e375964,2,PAINT,FLO,0.0,version1
3,638f2299473e71ee5e373a37,3,PAINT,OBJ,0.0,version1
4,638f22a0473e71ee5e373a45,4,PAINT,FOO,0.0,version1
5,63931cd5473e71ee5e376722,5,PAINT,FOO,0.0,version1
6,63970002473e71ee5e3770c3,6,PAINT,,0.0,version1
7,638f2293473e71ee5e373a2e,7,PAINT,OBJ,0.0,version1
8,6399a6a8473e71ee5e378448,8,PAINT,NAT,0.0,version1
9,638f2297473e71ee5e373a34,9,PAINT,OBJ,0.0,version1
10,638f2293473e71ee5e373a2f,10,PAINT,OBJ,0.0,version1
11,638f2291473e71ee5e373a28,11,PAINT,FLO,0.0,version1
12,63931cda473e71ee5e376729,12,PAINT,NAT,0.0,version1
13,63931cd9473e71ee5e376728,13,PAINT,NAT,0.0,version1
14,638f2299473e71ee5e373a36,14,PAINT,OBJ,0.0,version1
15,639078f0473e71ee5e374e28,15,PAINT,FOO,0.0,version1
16,638f2287473e71ee5e373a19,16,PAINT,NAT,0.0,version1
