sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61a74bb1ad22f796bd05410f,1,PAINT,,0.0,version1
2,61a74bb0ad22f796bd05410e,2,PAINT,,0.0,version1
3,61a884e3c1556423f09ae583,3,PAINT,,0.0,version1
4,61a88631c1556423f09ae5bf,4,PAINT,,0.0,version1
5,61a884c8c1556423f09ae579,5,PAINT,,0.0,version1
6,61a751dead22f796bd05422f,6,PAINT,,0.0,version1
7,61a88517c1556423f09ae58d,7,PAINT,,0.0,version1
8,61a88631c1556423f09ae5be,8,PAINT,,0.0,version1
9,61a751f7ad22f796bd05423e,9,PAINT,,0.0,version1
10,61a75197ad22f796bd054202,10,PAINT,,0.0,version1
11,61a751adad22f796bd054211,11,PAINT,,0.0,version1
12,61a74d6bad22f796bd054128,12,PAINT,,0.0,version1
13,61a88632c1556423f09ae5c0,13,PAINT,,0.0,version1
14,61a7521ead22f796bd05424d,14,PAINT,,0.0,version1
15,61a751c3ad22f796bd054220,15,PAINT,,0.0,version1
16,61a8853fc1556423f09ae597,16,PAINT,,0.0,version1
