sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61f3ae200cbd8ab1f88ada7a,1,PAINT,,0.0,version1
2,61a4457885bcd1c08329405d,2,PAINT,,0.0,version1
3,61a4447285bcd1c08329401a,3,PAINT,,0.0,version1
4,61a74f53ad22f796bd054180,4,PAINT,,0.0,version1
5,61a9e64a0b9699924a1a371b,5,PAINT,,0.0,version1
6,61a9e7120b9699924a1a372d,6,PAINT,,0.0,version1
7,61a49fbf803b9e4a449fbd88,7,PAINT,,0.0,version1
8,61a4442485bcd1c08329400d,8,PAINT,,0.0,version1
9,61a74f53ad22f796bd05417f,9,PAINT,,0.0,version1
10,61a9e7120b9699924a1a372e,10,PAINT,,0.0,version1
11,61a9e5a50b9699924a1a36eb,11,PAINT,,0.0,version1
12,61a74f53ad22f796bd054181,12,PAINT,,0.0,version1
13,61a74f53ad22f796bd054182,13,PAINT,,0.0,version1
14,61a49fbf803b9e4a449fbd89,14,PAINT,,0.0,version1
15,61a74f53ad22f796bd054183,15,PAINT,,0.0,version1
16,61a4442485bcd1c08329400c,16,PAINT,,0.0,version1
