sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62cead54f5ffecb013798380,1,PAINT,DRA,0.0,version1
2,62cd5735f5ffecb013797a49,2,PAINT,DRA,0.0,version1
3,62cd5738f5ffecb013797a50,3,PAINT,DRA,0.0,version1
4,62cc0c9f9876e4a1a600a549,4,PAINT,DRA,0.0,version1
5,62cead53f5ffecb01379837f,5,PAINT,DRA,0.0,version1
6,62cd573af5ffecb013797a54,6,PAINT,DRA,0.0,version1
7,62a2e76ecce6b2f7f5191875,7,PAINT,DRA,0.0,version1
8,62cd5737f5ffecb013797a4e,8,PAINT,DRA,0.0,version1
9,62cc0ca19876e4a1a600a54b,9,PAINT,DRA,0.0,version1
10,62cc0ca09876e4a1a600a54a,10,PAINT,DRA,0.0,version1
11,62cead52f5ffecb01379837e,11,PAINT,DRA,0.0,version1
12,62cd5733f5ffecb013797a46,12,PAINT,DRA,0.0,version1
13,62cd5734f5ffecb013797a47,13,PAINT,DRA,0.0,version1
14,62cc0ca29876e4a1a600a54c,14,PAINT,DRA,0.0,version1
15,62cead51f5ffecb01379837c,15,PAINT,DRA,0.0,version1
16,62cd5736f5ffecb013797a4c,16,PAINT,DRA,0.0,version1
