sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,64870156b2aadc44a3095a3b,1,PAINT,ANI,0.0,version1
2,646f5f972102ac5b93e13e27,2,PAINT,FLO,0.0,version1
3,64904853b2aadc44a3099e75,3,PAINT,,0.0,version1
4,645380ab3aa9895f1b245374,4,PAINT,,0.0,version1
5,642ff02e3fca8994168857e9,5,PAINT,BIR,0.0,version1
6,649d29f0d5f8ce50f98065ba,6,PAINT,,0.0,version1
7,6360f4a9a3145f1256fcdd9b,7,PAINT,man_made_scenery,0.0,version1
8,6442694101e6c46b636d574e,8,PAINT,ANI,0.0,version1
9,63be8af8bca7595bc8b9d48d,9,PAINT,ANI,0.0,version1
10,648c4193b2aadc44a3098f89,10,PAINT,BIR,0.0,version1
11,644501c601e6c46b636d67ce,11,PAINT,ANI,0.0,version1
12,63639ae0a3145f1256fd02fa,12,PAINT,man_made_scenery,0.0,version1
13,64b163a99313055ba5324e32,13,PAINT,,0.0,version1
14,645380b33aa9895f1b245380,14,PAINT,ANI,0.0,version1
15,645e1ab63aa9895f1b24f308,15,PAINT,ANI,0.0,version1
16,63f755b9ee3e7c890f9aa2ab,16,PAINT,NAT,0.0,version1
