sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,637dfba38062ac7fcbcb04b0,1,PAINT,,0.0,version1
2,637f5d048062ac7fcbcb0fa1,2,PAINT,man_made_scenery,0.0,version1
3,6380b8658062ac7fcbcb1f48,3,PAINT,man_made_scenery,0.0,version1
4,6380b8648062ac7fcbcb1f47,4,PAINT,man_made_scenery,0.0,version1
5,6389d9078062ac7fcbcb657f,5,PAINT,HOM,0.0,version1
6,6380b8668062ac7fcbcb1f49,6,PAINT,man_made_scenery,0.0,version1
7,6380b8688062ac7fcbcb1f4c,7,PAINT,man_made_scenery,0.0,version1
8,6380b8628062ac7fcbcb1f45,8,PAINT,man_made_scenery,0.0,version1
9,6388863a8062ac7fcbcb5680,9,PAINT,HOM,0.0,version1
10,63c126fddc8de1e7b38ad3ee,10,PAINT,,0.0,version1
11,638499ee8062ac7fcbcb2c06,11,PAINT,man_made_scenery,0.0,version1
12,638886388062ac7fcbcb567e,12,PAINT,HOM,0.0,version1
13,638886398062ac7fcbcb567f,13,PAINT,HOM,0.0,version1
14,63873f158062ac7fcbcb48e5,14,PAINT,HOM,0.0,version1
15,6380b8668062ac7fcbcb1f4a,15,PAINT,man_made_scenery,0.0,version1
16,63873f178062ac7fcbcb48e6,16,PAINT,HOM,0.0,version1
