sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,63454f29df60b1b10e0fbaa3,1,PAINT,PET,0.0,version1
2,63454f28df60b1b10e0fbaa0,2,PAINT,PET,0.0,version1
3,63454f27df60b1b10e0fba9f,3,PAINT,,0.0,version1
4,63454f26df60b1b10e0fba9e,4,PAINT,PET,0.0,version1
5,63454f2adf60b1b10e0fbaa4,5,PAINT,PET,0.0,version1
6,634699fedf60b1b10e0fcf39,6,PAINT,,0.0,version1
7,6342b054df60b1b10e0f9df3,7,PAINT,,0.0,version1
8,63454f23df60b1b10e0fba9a,8,PAINT,PET,0.0,version1
9,628a58285b1b45322be4c0d2,9,PAINT,ANI,0.0,version1
10,63454f28df60b1b10e0fbaa2,10,PAINT,PET,0.0,version1
11,63454f25df60b1b10e0fba9c,11,PAINT,PET,0.0,version1
12,61a886f4c1556423f09ae608,12,PAINT,,0.0,version1
13,6347f3c0df60b1b10e0fdb99,13,PAINT,,0.0,version1
14,63454f24df60b1b10e0fba9b,14,PAINT,PET,0.0,version1
15,63454f21df60b1b10e0fba98,15,PAINT,PET,0.0,version1
16,63469a0edf60b1b10e0fcf52,16,PAINT,PET,0.0,version1
