sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,61766e4cb5e166506a83a4a1,1,PAINT,,0.0,version1
2,61766406b5e166506a83a401,2,PAINT,,0.0,version1
3,6177cfa2b5e166506a83aa20,3,PAINT,,0.0,version1
4,61766379b5e166506a83a3f1,4,PAINT,,0.0,version1
5,61766bbeb5e166506a83a468,5,PAINT,,0.0,version1
6,617663e5b5e166506a83a3fd,6,PAINT,,0.0,version1
7,61766af4b5e166506a83a450,7,PAINT,,0.0,version1
8,61766348b5e166506a83a3ed,8,PAINT,,0.0,version1
9,61766546b5e166506a83a418,9,PAINT,,0.0,version1
10,61766bdbb5e166506a83a46c,10,PAINT,,0.0,version1
11,6177cbb7b5e166506a83a996,11,PAINT,,0.0,version1
12,617663a3b5e166506a83a3f5,12,PAINT,,0.0,version1
13,61766b13b5e166506a83a454,13,PAINT,,0.0,version1
14,61766d1eb5e166506a83a490,14,PAINT,,0.0,version1
15,61766778b5e166506a83a42c,15,PAINT,,0.0,version1
16,61766c99b5e166506a83a484,16,PAINT,,0.0,version1
