sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,6437ec4fe616ced1543b87a2,1,PAINT,BIR,0.0,version1
2,6464ac8eb5272586cd4be006,2,PAINT,,0.0,version1
3,6470866e2102ac5b93e146c3,3,PAINT,NAT,0.0,version1
4,6466148ef28f95ddf6dd067c,4,PAINT,islands,0.0,version1
5,6466148ff28f95ddf6dd067e,5,PAINT,HOM,0.0,version1
6,6463575ff2485c91428d43f8,6,PAINT,PET,0.0,version1
7,646b56aaf28f95ddf6dd36fb,7,PAINT,NAT,0.0,version1
8,646b56c7f28f95ddf6dd3738,8,PAINT,COL,0.0,version1
9,646614a0f28f95ddf6dd069a,9,PAINT,NAT,0.0,version1
10,646b56aef28f95ddf6dd3701,10,PAINT,BIR,0.0,version1
11,646756b6f28f95ddf6dd1f23,11,PAINT,FLO,0.0,version1
12,64426bff01e6c46b636d5773,12,PAINT,NAT,0.0,version1
13,64490d6301e6c46b636de807,13,PAINT,BIR,0.0,version1
14,645b77d33aa9895f1b24be31,14,PAINT,FLO,0.0,version1
15,645380b23aa9895f1b24537e,15,PAINT,ANI,0.0,version1
16,645e1ac03aa9895f1b24f319,16,PAINT,,0.0,version1
17,645380af3aa9895f1b24537a,17,PAINT,PET,0.0,version1
18,644a6f5f3aa9895f1b242f22,18,PAINT,LAN,0.0,version1
19,645cbc5c3aa9895f1b24d65a,19,PAINT,COL,0.0,version1
20,6458cde03aa9895f1b248ae0,20,PAINT,NAT,0.0,version1
21,62fb78cca9e3310549e58a8d,21,PAINT,BIR,0.0,version1
22,643fc8f8e616ced1543c0914,22,PAINT,FLO,0.0,version1
23,6447a31701e6c46b636d95ae,23,PAINT,ANI,0.0,version1
24,644504b201e6c46b636d686a,24,PAINT,HOM,0.0,version1
25,6311ec4c60de5ff993eb8d83,25,PAINT,PET,0.0,version1
26,62fa2325892f399c79a77a61,26,PAINT,LAN,0.0,version1
27,6442694201e6c46b636d574f,27,PAINT,COL,0.0,version1
28,6442694601e6c46b636d5754,28,PAINT,,0.0,version1
29,643e725de616ced1543be7ad,29,PAINT,ANI,0.0,version1
30,642405752709bfc144c2c491,30,PAINT,charming_houses,0.0,version1
31,643fc90be616ced1543c092e,31,PAINT,COL,0.0,version1
