sortId,levelUUID,levelId,type,cateGory,unlockCost,version
1,62381ff13d8d16fe91a19a20,1,PAINT,NAT,0,version1
2,6141f34441bd31b55a078862,2,PAINT,PET,0,version1
3,6141f34441bd31b55a078038,3,PAINT,COL,0,version1
4,626277f3b571ac9f45e900d8,4,PAINT,charming_houses,0,version1
5,62e88273892f399c79a6f122,5,PAINT,DRA,0,version1
6,61bc5ca2c5eb11567ead4150,6,PAINT,ANI,30,version1
7,6141f34541bd31b55a078dd2,7,PAINT,charming_houses,0,version1
8,62ff6e23a9e3310549e5d471,8,PAINT,FLO,0,version1
9,6422d8fb2709bfc144c2a6bd,9,PAINT,NAT,0,version1
10,6320629260de5ff993ecf8a9,10,PAINT,NAT,0,version1
11,631096e960de5ff993eb80e8,11,PAINT,FLO,0,version1
12,62d004e9f5ffecb01379916d,12,PAINT,NAT,0,version1
13,6331846360de5ff993ed7da9,13,PAINT,NAT,0,version1
14,63be8af9bca7595bc8b9d48e,14,PAINT,ANI,0,version1
15,63db889d15945b39859936a8,15,PAINT,FOO,0,version1
16,641442b32709bfc144c1773b,16,PAINT,NAT,0,version1
17,63849a098062ac7fcbcb2c28,17,PAINT,FLO,0,version1
18,6401cf7d4ecce27a6fe02b7b,18,PAINT,NAT,0,version1
19,65436622d726762824acafe6,19,COLLECTION,,400,version1
20,63fc9e254ecce27a6fdff2b0,20,PAINT,NAT,0,version1
21,64105ed72198b6f625440c6e,21,PAINT,charming_houses,0,version1
22,64ed8f72b5f53940ba7725e6,22,PAINT,SEA,0,version1
23,6510e882b71cba9dc1ba3e2d,23,PAINT,OBJ,0,version1
24,637dfb958062ac7fcbcb049e,24,PAINT,FES,0,version1
25,63c9483a15945b398598f794,25,PAINT,NAT,0,version1
26,63f8c58d097b43395ea24aa7,26,PAINT,NAT,0,version1
27,64be522515da672b6dc4b45b,27,PAINT,BIR,0,version1
28,6376f1f9609aa3af456b136d,28,PAINT,FES,0,version1
29,642bffef2709bfc144c33b3b,29,PAINT,LAN,0,version1
30,653642a07ceb043b1a8a71b1,30,PAINT,COL,0,version1
31,64d2f3bbe3cc3e2fb801c171,31,PAINT,HOM,0,version1
32,642e95666a19448e1f86bb0f,32,PAINT,charming_houses,0,version1
33,6492ddc31ae5fb72cadbfc0c,33,PAINT,FOO,0,version1
34,63f755c6ee3e7c890f9aa2bf,34,PAINT,NAT,0,version1
35,6399a6ae473e71ee5e378452,35,PAINT,FES,0,version1
36,634f8cd3a3145f1256fc5b16,36,PAINT,PET,0,version1
37,63b52e1b609aa3af459e0316,37,PAINT,FES,0,version1
38,646f5f8b2102ac5b93e13e17,38,PAINT,man_made_scenery,0,version1
39,64e410a7b5f53940ba76c825,39,PAINT,travel,0,version1
40,64621dac3aa9895f1b2508cc,40,PAINT,travel,30,version1
41,6391bf17473e71ee5e375972,41,PAINT,FES,0,version1
42,64562e3a3aa9895f1b24818e,42,PAINT,FLO,0,version1
43,63f8bd12097b43395ea2495c,43,PAINT,NAT,0,version1
44,646f5f8c2102ac5b93e13e19,44,PAINT,charming_houses,0,version1
45,63ef5aac93408aa8ac30c84c,45,PAINT,NAT,0,version1
46,64ccbc78b29a1ed93c1be4cf,46,PAINT,PET,0,version1
47,63a04078c00a83a598dba648,47,PAINT,SEA,0,version1
48,6389d8fa8062ac7fcbcb656f,48,PAINT,NAT,0,version1
49,63873f1b8062ac7fcbcb48ec,49,PAINT,FES,0,version1
50,64e410a3b5f53940ba76c81f,50,PAINT,COL,0,version1
51,63931ce7473e71ee5e37673a,51,PAINT,FES,0,version1
52,652fa9411400d8b6d675d817,52,PAINT,ART,0,version1
53,62da79f8f5ffecb01379e76e,53,PAINT,man_made_scenery,30,version1
54,641c3e8c2709bfc144c23bfc,54,PAINT,SEA,0,version1
55,649acc5cd5f8ce50f9804ae0,55,PAINT,BIR,0,version1
56,655c855c502b76bbf0dfe4a6,56,PAINT,NAT,0,version1
57,655f258c502b76bbf0e0203e,57,PAINT,NAT,0,version1
58,6442693701e6c46b636d5740,58,PAINT,charming_houses,0,version1
59,641d93992709bfc144c25d72,59,PAINT,FES,0,version1
60,6413099e2709bfc144c163c3,60,PAINT,PET,0,version1
61,6454d29d3aa9895f1b246c08,61,PAINT,countryside,0,version1
62,64e817fdb5f53940ba76fb2b,62,PAINT,DRA,30,version1
63,64ccbc74b29a1ed93c1be4c8,63,PAINT,FLO,0,version1
64,646f5f9a2102ac5b93e13e2b,64,PAINT,COL,30,version1
65,646ca60ff28f95ddf6dd4f2b,65,PAINT,ANI,0,version1
66,6442694001e6c46b636d574c,66,PAINT,OBJ,0,version1
67,63f755c5ee3e7c890f9aa2be,67,PAINT,NAT,0,version1
68,63ecb2841be6ac9ae0a1ae85,68,PAINT,NAT,0,version1
69,644501bb01e6c46b636d67bf,69,PAINT,OBJ,30,version1
70,64c9035c890be1665696c980,70,PAINT,PET,0,version1
71,64635998f2485c91428d4554,71,PAINT,charming_houses,0,version1
72,63c127c1dc8de1e7b38ad46c,72,PAINT,FES,0,version1
73,64105ee52198b6f625440c83,73,PAINT,BIR,0,version1
74,63ee041b1be6ac9ae0a1bc4d,74,PAINT,LAN,0,version1
75,63f8bcff097b43395ea24941,75,PAINT,NAT,30,version1
76,62da7a00f5ffecb01379e779,76,PAINT,FES,0,version1
77,640f1be02198b6f62543faa6,77,PAINT,OBJ,0,version1
78,63ef5ab093408aa8ac30c851,78,PAINT,NAT,0,version1
79,63b6a6bebca7595bc8b8fbe2,79,PAINT,SEA,30,version1
80,6391bf13473e71ee5e37596b,80,PAINT,FES,0,version1
81,6373539c609aa3af45567da0,81,PAINT,DRA,0,version1
82,63f61f63d68059c52c6f7ea6,82,PAINT,NAT,0,version1
83,654b6598d726762824ae9c9e,83,PAINT,ANI,0,version1
84,6141f34541bd31b55a079052,84,PAINT,,0,version1
85,646de88fe72c4297fd3236ae,85,PAINT,FES,0,version1
86,65484dd0d726762824aced61,86,PAINT,HOM,0,version1
87,64ad1eea9313055ba531f2ef,87,PAINT,,0,version1
88,64183d6c2709bfc144c19c82,88,PAINT,travel,0,version1
89,64904800b2aadc44a3099e6a,89,PAINT,man_made_scenery,0,version1
90,6538ee7bc13dfaa4c2500bf7,90,PAINT,NAT,30,version1
91,6526817e91533be72f087d5d,91,PAINT,NAT,0,version1
92,64f9a45cb5f53940ba77d354,92,PAINT,DRA,0,version1
93,645a17363aa9895f1b24a214,93,PAINT,FES,0,version1
94,63c539b0dc8de1e7b38b3a4a,94,PAINT,SEA,0,version1
95,64c0df6a890be166569681e3,95,PAINT,HOM,0,version1
96,64f9a4d6b5f53940ba77d3d0,96,PAINT,OBJ,0,version1
97,6442694401e6c46b636d5752,97,PAINT,ART,0,version1
98,641c3e5f2709bfc144c23bba,98,PAINT,PET,0,version1
99,63ac1d40bca7595bc8b8acc7,99,PAINT,FES,0,version1
100,6401cf914ecce27a6fe02b97,100,PAINT,charming_houses,0,version1
101,635755baa3145f1256fc9030,101,PAINT,countryside,0,version1
